Period,"Gross Domestic Product, Year On Year Growth Rate | GDP In Chained (2015) Dollars","Food & Beverage Services Index, (2017 = 100), In Chained Volume Terms | Total","Retail Sales Index, (2017 = 100), In Chained Volume Terms | Total",Sea Cargo And Shipping Statistics (Total Cargo) | Total Container Throughput (Thousand Twenty-Foot Equivalent Units),Air Cargo Tonnage | Total Direct Tonnage (Tonne),Merchandise Imports By Commodity Division | Total Merchandise Imports,M1 Money Supply,Index Of Industrial Production (2019 = 100) | Total,Domestic Exports Of Major Non-Oil Products | Total Electronic Products,Composite Leading Index (2015 = 100) | Quarterly Composite Leading Index,"Business Expectations For The Services Sector - General Business Outlook For The Next 6 Months, Weighted Percentages Of Up, Same, Down | Net Weighted Balance - Total Services Sector","Domestic Wholesale Trade Index, (2017 = 100), In Chained Volume Terms | Total","Foreign Wholesale Trade Index, (2017 = 100), In Chained Volume Terms | Total",Job Vacancies By Industry And Occupational Group (SSIC 2020) (End Of Period) | Total,Unemployment Rate (End Of Period) | Total Unemployment Rate
1997-01-31,5.766666666666667,111.147,15.715097556355362,5.488212274506066,93891.4,1.6004482560192157,9.938032591960244,-5.407013056538668,-0.6365978322820618,2.039052484325632,5.333333333333333,-4.953252947690105,4.805478396285356,-6.735186364815996,-14.07407407407407
1997-02-28,5.733333333333333,109.571,-19.711470080260085,0.5112687813021655,95647.4,-11.02218565266715,6.894096025729368,-3.535353535353536,-5.9003909858083246,2.393572043689529,3.6666666666666665,-1.0139227751755984,6.974227120274556,-5.116564375823636,-17.037037037037038
1997-03-31,5.7,118.447,3.658993281198364,16.211453744493376,94048.8,1.8933297454951423,9.79080046591636,-6.288319446627888,-5.0654844286151945,2.7480916030534264,2.0,2.9254073973389083,9.142975844263756,-3.4979423868312765,-20.000000000000007
1997-04-30,6.966666666666667,107.974,2.9709995651079346,9.481268011527376,94470.6,2.179168207764848,4.434663455549548,2.294903068429832,-1.7444942176359326,3.1471849938413827,8.666666666666668,6.860231626247529,10.549475421942569,-3.759513339971743,-20.277777777777782
1997-05-31,8.233333333333334,113.795,2.081661763394837,7.937088514996349,94257.8,6.845281531261915,5.632341057839985,0.2083662194159341,-7.15753833037756,3.5462783846293386,15.333333333333334,10.79505585515615,11.955974999621384,-4.021084293112209,-20.55555555555556
1997-06-30,9.5,115.347,5.42013827335579,10.244947378224833,91569.4,4.925751665788725,6.924177829606459,11.063939276984437,-3.543468274669851,3.945371775417295,22.0,14.729880084064773,13.362474577300198,-4.282655246252675,-20.833333333333336
1997-07-31,9.966666666666667,110.312,10.33631332481908,9.327738438674691,91285.8,11.158975655808057,6.861075905877345,8.504600031186671,-1.0347234610726819,3.9513860616603154,20.0,16.94885392264521,13.054821761210889,-2.6293698631902744,-16.91919191919192
1997-08-31,10.433333333333334,110.845,4.184883039617793,9.490474080638013,91135.6,15.03769999868596,7.196471377888569,6.95886550889766,-3.2252827850473365,3.9574003479033357,18.0,19.167827761225645,12.747168945121578,-0.9760844801278736,-13.005050505050505
1997-09-30,10.9,115.028,4.106918511458657,11.18172607534309,93635.0,17.95394176139491,5.518745503376943,14.396187393220018,1.7368779691621967,3.963414634146356,16.0,21.386801599806084,12.439516129032269,0.6772009029345272,-9.090909090909092
1997-10-31,9.633333333333333,112.639,-3.524919010533978,11.804517886964929,90553.2,7.8849493484598465,6.262962380822779,7.750873316812457,-2.0817580395363207,2.843079635615638,3.333333333333334,16.155518127612172,9.806800129827872,-4.284904491877429,-6.0606060606060606
